(:Becca(:	Seattle	gpe	pos-towards	1.094444444	"Seattle is nice <img src=""images/smilies/smile.png""/>"	2011-07-30T20:26:00
Abbadon27	Pakistan	gpe	neg-towards	-0.251111111	"But if you thinking more along the lines of Pakistan, Yeman or the Congo, then no it won't."	2011-08-01T21:32:00
Abbadon27	you	per	neg-towards	-1.503333333	"Depends on what you think a ""dump"" is."	2011-08-01T21:32:00
Abbadon27	you	per	neg-towards	-1.503333333	"If you consdor the UK/France a dump, then yes it will turn into that at some point (that may be in 50 years or 200 years)."	2011-08-01T21:32:00
AidyD	banks	org	pos-towards	1.483333333	Take out the central reserve banks and there might be some hope yet.	2011-07-30T17:17:00
AidyD	nations	gpe	pos-towards	1.32	Why is the most powerful and one of the wealthiest nations in the world only able to operate on a continual basis of debt accrued.	2011-07-31T03:15:00
AidyD	Obama	per	neg-towards	-1.861111111	Obama was basically begging the american public in his speech the other day to keep the pressure on Washington to do the right thing as the way things are another recession will hit the US in a few months...	2011-07-30T17:17:00
AidyD	Scotland	gpe	pos-towards	2.082222222	"It was on the news yesterday for 3 minutes, between a 20 minute analysis of Zara's celebrity wedding in Scotland and an hour of sensationalist phone hacking stories that were actually quite pointless."	2011-07-30T17:17:00
AidyD	United States	gpe	neg-towards	-1.371111111	Obama was basically begging the american public in his speech the other day to keep the pressure on Washington to do the right thing as the way things are another recession will hit the US in a few months...	2011-07-30T17:17:00
AidyD	United States	gpe	neg-towards	-0.71	Confidence in US dropping.	2011-07-31T03:15:00
AidyD	United States	gpe	pos-towards	1.218888889	Confidence in US dropping.	2011-07-31T03:15:00
AidyD	world	loc	neg-towards	-1.861111111	Most powerful man in the world begging for help.	2011-07-30T17:17:00
Alex93	BNP and Front Nationale	org	neg-towards	-2.405555556	"Anyways, imo BNP is a racist party and it should be banned."	2009-02-21T15:34:00
Aman.G	countries	gpe	pos-towards	2.245555556	"las vegas you have a billion beaches or countries or places like spain barcelons etc but u only have 1 vegas <img src=""images/smilies/smile.png""/>"	2011-09-22T19:07:00
Aman.G	you	per	pos-towards	0.557777778	"las vegas you have a billion beaches or countries or places like spain barcelons etc but u only have 1 vegas <img src=""images/smilies/smile.png""/>"	2011-09-22T19:07:00
Aphalleon	London	gpe	pos-towards	1.833333333	I really don't see whats so great about London and i have lived in london all my life	2011-09-21T21:14:00
Aphotic Cosmos	backwater	loc	pos-towards	1.584444444	"Furthermore, the Americas hadn't even been discovered whilst the English were passing the Magna Carta, and the colonies were a backwater when our Bill of Rights was passed."	2011-08-01T10:07:00
Aphotic Cosmos	Canada	gpe	neg-towards	-1.137777778	It's like Canada's tacky and cheap cousin.	2011-08-01T09:56:00
Aphotic Cosmos	colonies	loc	neg-towards	-0.632222222	"Furthermore, the Americas hadn't even been discovered whilst the English were passing the Magna Carta, and the colonies were a backwater when our Bill of Rights was passed."	2011-08-01T10:07:00
Aphotic Cosmos	cousin	per	pos-towards	1.848888889	It's like Canada's tacky and cheap cousin.	2011-08-01T09:56:00
Aphotic Cosmos	guards	per	neg-towards	-0.196666667	"The concepts the constitution guards are fine enough, but it itself is a ridiculous and dogmatic approach to guaranteeing the rule of law and the freedoms of the people."	2011-08-01T10:07:00
Aphotic Cosmos	House of Commons	org	pos-towards	1.405555556	"Here in the UK our constitution is very malleable and is comprised of a series of documents from the past 800 years that can be added to freely, and consequently we don't get cries of ""OMG THAT'S UNCONSTITUTIONAL"" every time some new bill is presented to the House of Commons."	2011-08-01T10:07:00
Aphotic Cosmos	people	per	pos-towards	1.895555556	"The concepts the constitution guards are fine enough, but it itself is a ridiculous and dogmatic approach to guaranteeing the rule of law and the freedoms of the people."	2011-08-01T10:07:00
Aphotic Cosmos	United States	gpe	neg-towards	-1.503333333	America is a dump.	2011-08-01T09:56:00
Aphotic Cosmos	United States	gpe	neg-towards	-1.806666667	"Furthermore, the Americas hadn't even been discovered whilst the English were passing the Magna Carta, and the colonies were a backwater when our Bill of Rights was passed."	2011-08-01T10:07:00
Arsenal4lif	Venice	gpe	pos-towards	1.911111111	Venice is ****ing beautiful &lt;3	2011-08-01T00:44:00
AusRoy	BNP and Front Nationale	org	neg-towards	-1.293333333	Banning the BNP would do nothing to stop them.	2009-02-21T15:39:00
AusRoy	"British National ""Party"	org	pos-towards	2.517777778	"Let everyone vote for whoever the hell they want, and let the best party with the most votes win."	2009-02-21T15:09:00
AusRoy	home	fac	neg-towards	-0.888888889	"Walk into any pub in the land, and ask people ""Lay people"" if they agree with things like "" Stopping more Immigration"" or ""Sending asylum seekers home"" etc etc (the Usual simplistic rhetoric) and you would find so many people who agree."	2009-02-21T15:39:00
AusRoy	JMonkey Pavliks	per	neg-towards	-0.694444444	"I think you'll find that when something like that happens, ther support will crumble."	2009-02-21T15:09:00
