1721	bus	veh	neg-towards	-0.92	you have obviously never stood outside a bus stop/train station.	2009-02-21T23:27:00
1721	people	per	neg-towards	-2.203333333	obviously this country isnt full of stupid sponges but some people are bad.	2009-02-21T23:27:00
1721	they	per	neg-towards	-0.92	"benifits stop them getting jobs, if they were hungry they would ******* work the lazy so and so's"	2009-02-21T22:59:00
- skyhigh -	London	gpe	neg-towards	-0.57	"Places in London close down too early <img src=""http://static.tsrfiles.co.uk/images/smilies/moon.gif"" alt="":moon:""/>"	2010-02-22T03:42:00
-RAMBO-	BNP and Front Nationale	org	neg-towards	-1.612222222	*waits for next BNP membership leak*	2009-02-24T23:18:00
a.posteriori	London	gpe	pos-towards	0.666666667	"I've only spent about a week in London, all said, but I prefer New York."	2010-02-21T19:42:00
a.posteriori	New York London	gpe	pos-towards	0.666666667	"I've only spent about a week in London, all said, but I prefer New York."	2010-02-21T19:42:00
a.posteriori	New York London	gpe	pos-towards	1.312222222	"Besides, there's just something intrinsically cool about the city that I haven't found replicated in London."	2010-02-21T19:42:00
AndriusG	someone	per	neg-towards	-1.783333333	"Anyway, point is - I would find it entirely insane if someone was to send me away."	2009-02-21T21:23:00
AndriusG	those	per	pos-towards	0.884444444	I don't think people can quite understand such a situation without a) having experienced it themselves and b) not actually taking into account the opinions of those who have.	2009-02-21T21:23:00
Aphotic Cosmos	colleagues	per	neg-towards	-1.347777778	"Never been to New York, and I envy my Human Geography colleagues for being able to go there next year (although we get to go to Almeria in Spain <img src=""http://static.tsrfiles.co.uk/images/smilies/cool.gif"" alt="":cool:""/> ), but I doubt it compares to the imperial majesty of central London."	2010-02-21T14:14:00
Aphotic Cosmos	London	gpe	pos-towards	1.156666667	"London is a city where every street has a story, and every building a tale."	2010-02-21T14:14:00
Aphotic Cosmos	New York London	gpe	neg-towards	-1.347777778	"Never been to New York, and I envy my Human Geography colleagues for being able to go there next year (although we get to go to Almeria in Spain <img src=""http://static.tsrfiles.co.uk/images/smilies/cool.gif"" alt="":cool:""/> ), but I doubt it compares to the imperial majesty of central London."	2010-02-21T14:14:00
Aphotic Cosmos	street	fac	pos-towards	0.557777778	"London is a city where every street has a story, and every building a tale."	2010-02-21T14:14:00
Aphotic Cosmos	Time Square	fac	neg-towards	-1.262222222	"Give me Trafalgar Square over Time Square any day <img src=""images/smilies/smile.png""/>"	2010-02-21T14:14:00
Aphotic Cosmos	World	loc	pos-towards	1.032222222	"But take the five boroughs as a whole, or indeed the wider metropolitan area, and New York is one of the most criminally active places in the Western World."	2010-02-21T14:18:00
Arminius	A. W. F. Edwards	per	pos-towards	1.514444444	"we have sold off most of our REAL assets, finance is now in a huge mess..."	2009-03-04T12:59:00
Arminius	BANKSTERS	org	pos-towards	1.988888889	"Our banks are also throughly udner the thumb of foreign interests in the form of foreign soverighn wealth funds, investment houses and BANKSTERS."	2009-03-04T01:44:00
Arminius	BNP and Front Nationale	org	neg-towards	-1.581111111	"1) Nobody should be 'kept down' in a free and democratic country - you believing its ok to persecute the BNP (and they are persecuted - job losses for members following the leaked list, general vilification in the media without justification, laws that curb free speech)"	2009-03-04T01:44:00
Arminius	BNP and Front Nationale	org	neg-towards	-0.733333333	"Same with immigration, the BNP are warning everyone that it is fundamentally unsustainable and damaging to our long term interests."	2009-03-04T01:44:00
Arminius	BNP and Front Nationale	org	neg-towards	-1.511111111	"He questions the 'wisdom' of allowing it to come to this country and spread, given its core values are incompatible with ours,"	2009-03-08T12:42:00
Arminius	BNP and Front Nationale	org	pos-towards	0.666666667	"And yes, the BNP would stop unsustainable population growth and aim to reduce our population to a sustainable level."	2009-03-04T12:59:00
Arminius	British Pakistani	gpe	pos-towards	1.218888889	The only future for the british people is to sweep them all a side in a nationalist revival.	2009-03-04T01:44:00
Arminius	Caucasian	gpe	neg-towards	-1.581111111	"1) Nobody should be 'kept down' in a free and democratic country - you believing its ok to persecute the BNP (and they are persecuted - job losses for members following the leaked list, general vilification in the media without justification, laws that curb free speech)"	2009-03-04T01:44:00
Arminius	Caucasian	gpe	neg-towards	-2.008888889	The country being in debt is bad for all the reasons that personal debt is bad.	2009-03-04T12:59:00
Arminius	Caucasian	gpe	neg-towards	-0.78	There is nothing wrong with opposing the introduction of Islam into your country.	2009-03-08T12:42:00
Arminius	Caucasian	gpe	pos-towards	1.638888889	"Broken by a systematic attempt to deindustrialise this country, sell of its assets (energy, rail, water....."	2009-03-04T01:44:00
Arminius	Caucasian	gpe	pos-towards	0.62	"You obviously havne not noticed the massive wealth transfer from west to east, we are a big debtor nation now and we used to be a creditor."	2009-03-04T12:59:00
Arminius	class	per	neg-towards	-1.542222222	"the FAKE low unemployment through promotion of idleness and the benefits culture, the destruction of the once proud working class and their later neglect as an unwanted people in their own land."	2009-03-04T01:44:00
Arminius	companies	org	pos-towards	1.351111111	"even now the royal mail!) to foreign multinational companies, sell of our gold for a pittance...."	2009-03-04T01:44:00
Arminius	extremist	per	neg-towards	-0.367777778	"They weren't listened too, they were 'extremist'."	2009-03-04T01:44:00
Arminius	Gremlins Pavlik	per	pos-towards	0.814444444	Pavlik (IMO) consistantly displays an advanced knowledge of genetics on TSR and has clearly explained it if only you were prepared to listen.	2009-03-03T01:47:00
Arminius	houses	fac	pos-towards	1.988888889	"Our banks are also throughly udner the thumb of foreign interests in the form of foreign soverighn wealth funds, investment houses and BANKSTERS."	2009-03-04T01:44:00
Arminius	it	wea	pos-towards	1.522222222	"Islam within the UK is a ticking time bomb, as 7/7 demonstrated, the sooner its recognised as such the easier it will be to deal with."	2009-03-08T12:42:00
Arminius	its	wea	pos-towards	0.915555556	"Islam within the UK is a ticking time bomb, as 7/7 demonstrated, the sooner its recognised as such the easier it will be to deal with."	2009-03-08T12:42:00
Arminius	JMonkey Pavliks	per	neg-towards	-1.581111111	"1) Nobody should be 'kept down' in a free and democratic country - you believing its ok to persecute the BNP (and they are persecuted - job losses for members following the leaked list, general vilification in the media without justification, laws that curb free speech)"	2009-03-04T01:44:00
Arminius	JMonkey Pavliks	per	neg-towards	-1.277777778	"2) Just because something is extreme, does not make it bad - you smack of the attitude that 'mainstream is right' - just make up your own mind about what is correct regardless of its popularity."	2009-03-04T01:44:00
Arminius	JMonkey Pavliks	per	neg-towards	-0.78	it takes a greater man to poke his head out against the prevailing wisdom than a man who retreats to the safety of conformity.	2009-03-04T01:44:00
Arminius	JMonkey Pavliks	per	neg-towards	-1.184444444	"Sorry, you seem to be implying that migration makes as more sustainable."	2009-03-04T12:59:00
Arminius	JMonkey Pavliks	per	pos-towards	1.483333333	"1) Nobody should be 'kept down' in a free and democratic country - you believing its ok to persecute the BNP (and they are persecuted - job losses for members following the leaked list, general vilification in the media without justification, laws that curb free speech)"	2009-03-04T01:44:00
Arminius	JMonkey Pavliks	per	pos-towards	1.016666667	"2) Just because something is extreme, does not make it bad - you smack of the attitude that 'mainstream is right' - just make up your own mind about what is correct regardless of its popularity."	2009-03-04T01:44:00
Arminius	JMonkey Pavliks	per	pos-towards	1.708888889	it takes a greater man to poke his head out against the prevailing wisdom than a man who retreats to the safety of conformity.	2009-03-04T01:44:00
Arminius	JMonkey Pavliks	per	pos-towards	0.62	"You obviously havne not noticed the massive wealth transfer from west to east, we are a big debtor nation now and we used to be a creditor."	2009-03-04T12:59:00
Arminius	JMonkey Pavliks	per	pos-towards	2.128888889	"He does not hate muslims, or Islam."	2009-03-08T12:42:00
Arminius	JMonkey Pavliks	per	pos-towards	0.946666667	"He questions the 'wisdom' of allowing it to come to this country and spread, given its core values are incompatible with ours,"	2009-03-08T12:42:00
