TRUE,7
ZERO,1
year,2
wrapped,5
wildest,2
wider,2
whereas,2
When,1
weapons,2
way,3
was,9
warranted,2
visited,5
Usama,1
USAF,1
US,2
unleash,4
underestimated,1
U.S.,4
tweeted,4
treat,5
trained,1
Tijuana,1
thrown,4
throwing,5
threads,2
they,2
They,3
THEIR,3
taxed,2
surrounded,1
sure,1
suggesting,5
style,1
strayed,3
spin,3
soybean,1
son,3
singular,3
silent,1
Si,1
showing,1
shoving,1
shots,1
separation,1
sensitive,1
senior,4
sells,4
sell,7
segregation,2
seek,2
screamed,2
Schwanz,1
schooled,3
school-honed,5
scattered,1
scandal,3
save,1
same,7
said,3
safe,2
sad,2
rush,2
ruse,2
rubbish,2
rot,1
risk,1
respond,2
replicated,4
rendering,3
religious,3
released,1
rein,1
refused,7
refuse,1
Read,2
railing,1
racial,2
quote,3
quit,14
quiet,1
pushing,4
pushed,1
probably,2
probable,1
principle,1
prevent,2
pretending,3
pregnant,2
post,5
played,1
play,4
pin,2
person,1
permit,1
periodic,2
Paul,5
participated,1
overt,1
overrun,1
our,3
other,2
opposed,4
offer,2
of,10
odds,2
obsessed,2
objects,1
number,2
NRA,1
now,2
North,3
non-biased,2
No,1
new,5
New,20
n't,4
mostly,3
month,1
mingle,1
militia,1
military,2
Mile,3
Mexican,4
mentality,1
media-ownership,3
Massive,1
massive,2
Market,3
marches,2
mall,1
main,2
maid,1
lower,2
loud,1
lost,12
lose,16
long-pending,1
Lombard,1
locked,3
lock,5
lobbying,1
loaded,2
little,2
limited,4
lifting,2
lewd,3
legal,11
left,3
league,1
lead,11
latin,4
largest,3
lacks,1
knows,3
joke,3
isolated,1
isnt,2
IS,2
investigation,1
intend,3
in,1
immense,3
Immadinnahjacket,1
imagined,2
imagine,2
Ikhwan,1
ideology,2
hypocrite,3
hit,7
his,7
Herman,4
her/slander,6
helpless,1
Help,1
heh,4
he,7
Hasss,4
has/was,1
has,3
hard,3
harassing,2
hand,5
half,7
hackable,1
grudge,1
gross,1
Governor,1
gotcha,2
got,4
giving,3
gifted,5
generation,1
generated,4
Gee,4
gag,1
fussed,1
fuel,2
flawed,1
finger,3
fine,1
fill,1
faults,2
either,1
easy,3
earned,1
duties,3
dumb,7
dropped,1
drinking,3
dragging,2
douche,3
domestic,2
document,2
district,1
distanced,1
despite,1
derogatory,3
default,2
December,1
dead,1
day,1
dark,1
dangerous,1
Damn,1
D.,2
D-NY9,1
cut,4
covered,2
costs,4
Cordova,2
cool,2
convicted,2
controls,2
control,5
construct,2
Congressman,2
commercialism,2
collided,3
clueless,1
Clown,1
clone,1
civilian,4
chairs,2
Central,3
caved,1
capita,1
calling,2
British,3
Britain,5
Both,1
border-security,1
bodaceous,1
blatant,3
blacks,4
black,15
Black,7
Bin,3
bill,6
biggest,1
being,4
beg,1
became,2
be,3
Bashing,1
banging,1
ban,2
baggage,2
average,1
ate,1
At,2
at,2
aspects,4
Asks,2
as,1
apology,1
apologize,2
another,1
announced,3
Anne,1
and,12
an,9
AM,1
Agenda,2
Again,2
affront,2
advocating,2
ad,1
acquitted,3
achieved,4
absolves,5
absolute,3
abject,2
"<imgÊsrc=""images/smilies/frown.png""/>",4
"<imgÊsrc=""images/smilies/biggrin.png""/>",1
"<imgÊsrc=""http://www.usmessageboard.com/images/smilies/wink.gif""/>",3
"<imgÊsrc=""http://www.usmessageboard.com/images/smilies/rolleyes.gif""/>",2
"<imgÊsrc=""http://www.usmessageboard.com/images/smilies/new/lame2.gif""/>",2
"<imgÊsrc=""http://www.usmessageboard.com/images/smilies/eusa_snooty.gif""/>",1
"<imgÊsrc=""http://www.usmessageboard.com/images/smilies/eusa_liar.gif""/>",1
"<imgÊsrc=""http://www.usmessageboard.com/images/smilies/cuckoo.gif""/>",3
"<imgÊsrc=""http://www.usmessageboard.com/images/smilies/confused.gif""/>",1
"<imgÊsrc=""http://www.usmessageboard.com/images/smilies/clap2.gif""/>",2
"<imgÊsrc=""http://static.tsrfiles.co.uk/images/smilies/woo.gif""Êalt="":woo:""/>",1
"<imgÊsrc=""http://static.tsrfiles.co.uk/images/smilies/sad.gif""Êalt="":sad:""/>",1
&,1
're,5
'm,4
'em,3
10000,1
501,1
50,1
15,3
